"TerrID","FemID","MaleID","Repro","Npups","hs_8km","nterr_50km","area_buffer50km","densTerr_50km","Delta_bfem","sYear","nyears"
153,152,206,1,4,0.406268890380859,10,7850.3934364416,10.0045707231898,1,2017,1
160,62,129,1,1,0.424001129150391,10,7850.39343644171,10.0045707231896,3,2017,3
33,118,145,1,2,0.316626159667969,13,7850.39343644142,13.005941940147,1,2017,1
38,93,147,1,8,0.479470092773437,12,7850.39343644144,12.005484867828,2,2017,2
29,199,198,1,4,0.348017395019531,8,7850.39343644157,8.00365657855185,1,2017,1
45,38,102,0,0,0.497890197753906,6,7850.39343644149,6.00274243391395,2,2017,5
150,126,143,0,0,0.291334899902344,9,7850.39343644163,9.00411365087076,2,2017,2
46,111,NA,1,3,0.423834991455078,16,7850.39343644156,16.0073131571037,5,2017,5
110,106,135,1,4,0.362543731689453,11,7850.39343644155,11.0050277955088,2,2017,2
20,129,162,1,3,0.360667541503906,15,7850.39343644135,15.0068560847851,1,2017,3
64,89,108,1,6,0.458707702636719,13,7850.39343644156,13.0059419401468,4,2017,4
164,147,140,1,3,0.490279754638672,6,7850.39343644133,6.00274243391407,1,2017,3
94,136,125,1,4,0.291845123291016,11,7850.39343644169,11.0050277955086,3,2017,3
59,109,144,1,5,0.404322204589844,7,7850.39343644147,7.00319950623296,2,2017,2
132,131,133,NA,0,0.292225952148437,24,7805.72342437957,24.1483779231353,2,2017,3
53,154,166,NA,0,0.305429321289063,1,7716.59003613403,1.017804703528,1,2017,1
156,150,164,NA,0,0.280463531494141,9,7850.39343644159,9.00411365087082,1,2017,1
19,110,103,0,0,0.543271240234375,9,7850.39343644159,9.00411365087081,5,2017,4
165,19,91,1,4,0.403861724853516,26,4755.53983821735,42.940134964758,3,2018,9
144,143,173,1,7,0.381570159912109,28,5401.98869506536,40.7093568989086,4,2018,4
2,94,149,1,4,0.340873565673828,35,7543.29406261079,36.4415539030392,1,2018,1
66,100,152,1,3,0.340127716064453,32,6012.31228607794,41.8021221002034,4,2018,4
132,131,133,1,1,0.292225952148437,33,7805.72342437957,33.204019644311,3,2018,4
88,140,161,1,4,0.426107360839844,24,7850.39343644156,24.0109697356556,1,2018,1
155,173,155,1,3,0.347333801269531,35,6909.15770652364,39.7862328326296,1,2018,5
63,44,193,1,3,0.335040435791016,32,7824.60153373057,32.1201547713008,3,2018,3
42,63,209,1,6,0.522122009277344,4,7850.39343644169,4.00182828927587,1,2018,1
54,159,84,1,2,0.515654357910156,3,7548.00336808475,3.12161292899663,1,2018,1
113,185,NA,1,6,0.338895812988281,23,7850.39343644142,23.010512663337,1,2018,1
136,137,177,1,4,0.373185241699219,18,7850.39343644172,18.0082273017413,1,2018,1
79,178,64,1,4,0.62811962890625,6,7850.39343644168,6.0027424339138,3,2018,3
9,141,151,1,6,0.373366607666016,23,4907.58435980368,36.8086545920608,1,2018,5
30,127,163,1,5,0.366527313232422,18,7850.39343644155,18.0082273017417,3,2018,3
51,149,110,1,3,0.460911041259766,20,7850.39343644163,20.0091414463795,1,2018,7
56,132,46,1,0,0.291750518798828,35,7850.29391960971,35.0164414229695,2,2018,2
84,113,176,1,6,0.476681365966797,26,6657.56944473297,30.6723833943465,4,2018,8
86,114,NA,1,7,0.406708648681641,22,7850.39343644163,22.0100555910174,2,2018,2
116,148,83,1,7,0.347092376708984,11,4255.64751181487,20.3009759933984,1,2018,1
117,80,174,1,1,0.395057006835937,32,7850.39343644147,32.0146263142078,1,2018,1
125,68,139,1,2,0.293001617431641,27,7850.39343644152,27.0123409526127,4,2018,4
127,146,128,1,7,0.331673370361328,15,7041.12454203398,16.731663217476,2,2018,4
133,142,153,1,4,0.311334320068359,25,7704.89677024501,25.4837341374424,3,2018,3
149,166,172,1,5,0.350862640380859,2,7850.39343644152,2.00091414463798,1,2018,1
